Country,Crop,Average_annual_rainfall(mm),Pesticides_used(tonnes),Average_temperature(degree C),Crop_yield(hg/ha)
Albania,Maize,1485.0,121.0,16.37,36613
Albania,Potatoes,1485.0,121.0,16.37,66667
Albania,"Rice, paddy",1485.0,121.0,16.37,23333
Albania,Sorghum,1485.0,121.0,16.37,12500
Albania,Soybeans,1485.0,121.0,16.37,7000
Albania,Wheat,1485.0,121.0,16.37,30197
Albania,Maize,1485.0,121.0,15.36,29068
Albania,Potatoes,1485.0,121.0,15.36,77818
Albania,"Rice, paddy",1485.0,121.0,15.36,28538
Albania,Sorghum,1485.0,121.0,15.36,6667
Albania,Soybeans,1485.0,121.0,15.36,6066
Albania,Wheat,1485.0,121.0,15.36,20698
Albania,Maize,1485.0,121.0,16.06,24876
Albania,Potatoes,1485.0,121.0,16.06,82920
Albania,"Rice, paddy",1485.0,121.0,16.06,40000
Albania,Sorghum,1485.0,121.0,16.06,3747
Albania,Soybeans,1485.0,121.0,16.06,4507
Albania,Wheat,1485.0,121.0,16.06,24388
Albania,Maize,1485.0,121.0,16.05,24185
Albania,Potatoes,1485.0,121.0,16.05,98446
Albania,"Rice, paddy",1485.0,121.0,16.05,41786
Albania,Soybeans,1485.0,121.0,16.05,7998
Albania,Wheat,1485.0,121.0,16.05,29976
Albania,Maize,1485.0,201.0,16.96,25848
Albania,Potatoes,1485.0,201.0,16.96,81404
Albania,Soybeans,1485.0,201.0,16.96,7927
Albania,Wheat,1485.0,201.0,16.96,24745
Albania,Maize,1485.0,251.0,15.67,31300
Albania,Potatoes,1485.0,251.0,15.67,111323
Albania,Soybeans,1485.0,251.0,15.67,11791
Albania,Wheat,1485.0,251.0,15.67,28703
Albania,Maize,1485.0,313.96,15.64,32604
Albania,Potatoes,1485.0,313.96,15.64,106138
Albania,Soybeans,1485.0,313.96,15.64,15480
Albania,Wheat,1485.0,313.96,15.64,21741
Albania,Maize,1485.0,376.93,15.9,31862
Albania,Potatoes,1485.0,376.93,15.9,109874
Albania,Soybeans,1485.0,376.93,15.9,12768
Albania,Wheat,1485.0,376.93,15.9,28516
Albania,Maize,1485.0,439.89,16.27,33416
Albania,Potatoes,1485.0,439.89,16.27,127212
